nombre_comercial,razon_social,actividad_economica,numero_de_personal,tipo_vial,nombre_vial,tipo_vial_1,nombre_vial_1,tipo_vial_2,nombre_vial_2,tipo_vial_3,nombre_vial_3,letra_ext,edificio,edificio_piso,letra_int,tipo_asentamiento,nombre_asentamiento,tipo_centro_comercial,nombre_centro_comercial,numero_local,entidad,municipio,localidad,ageb,telefono,email,web,tipo_unidad_economica,fecha_alta,id,codigo_actividad_economica,numero_ext,numero_int,codigo_postal,clave_entidad,clave_municipio,clave_localidad,manzana,latitud,longitud
accor hotels,sociedad inmobiliaria hotelera de mexico sa de cv,hoteles con otros servicios integrados,31 a 50 personas,calle,leibnitz,calle,tolstoi,calle,victor hugo,calle,dante,,6,piso 6,,colonia,anzures,,,,ciudad de mexico,miguel hidalgo,miguel hidalgo,068a,,,,fijo,2010-07,6343520,721111,20.0,6.0,11590.0,9,16,1,24,19.42589974,-99.17712177
administracion de estacionamientos,administracion y servicios de estacionamientos,hoteles sin otros servicios integrados,0 a 5 personas,avenida,paseo de la reforma,,milan,,general prim,,ninguno,,,,,,juarez,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,0803,,,,fijo,2017-03,6775778,721112,130.0,,6600.0,9,15,1,6,19.43581545,-99.15712422
administracion y servicio de estacionamientos sa de cv,administracion y servicio de estacionamiento sa de cv,hoteles sin otros servicios integrados,0 a 5 personas,calle,rio amazonas,calle,rio lerma,avenida,paseo de la reforma,calle,rio guadiana,,,,,colonia,cuauhtemoc,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,0837,,,,fijo,2010-07,6259132,721112,94.0,,6600.0,9,15,1,1,19.43396821,-99.16278728
administrdora de hoteles grt sa cv,administrdora de hoteles grt sa de cv,hoteles con otros servicios integrados,101 a 250 personas,avenida,general mariano escobedo,calle,emmanuel kant,calle,victor hugo,calle,leibnitz,,,,,colonia,anzures,,,,ciudad de mexico,miguel hidalgo,miguel hidalgo,068a,,,,fijo,2019-04,6869695,721111,700.0,,11590.0,9,16,1,22,19.42765558,-99.17949844
almacen de hotel villa solaris,villas solaris s de rl de cv,hoteles con otros servicios integrados,0 a 5 personas,eje vial,5 oriente (avenida javier rojo gomez),avenida,canal del moral,avenida,jalisco,calle,hermenegildo galeana,,,,,colonia,guadalupe del moral,,,,ciudad de mexico,iztapalapa,iztapalapa,3651,2383803340,atoriz@hotelessolaris.com,www.hotelessolaris.com,fijo,2016-10,6733853,721111,514.0,,9300.0,9,7,1,8,19.37276853,-99.07979536
apartamentos madrid once,apartamentos madrid once sa,hoteles con otros servicios integrados,0 a 5 personas,calle,madrid,calle,paris,calle,maestro antonio caso,calle,madrid,,,,,colonia,tabacalera,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,070a,,,,fijo,2016-01,6726909,721111,11.0,,6030.0,9,15,1,13,19.43355392,-99.15650245
aqua mexico city hotels & spa,hoteles y villas posadas sa de cv,hoteles con otros servicios integrados,0 a 5 personas,avenida,paseo tamarindos,,,,,,,,,,,colonia,bosques de las loma,,,,ciudad de mexico,alvaro obregon,alvaro obregon,1379,015553266701,veronica.arevalo@posadas.com,,fijo,2017-11,6812838,721111,98.0,,5120.0,9,10,1,25,19.38328865,-99.25100761
"block suites, s.a. de c.v.","block suites, s.a. de c.v.",hoteles sin otros servicios integrados,6 a 10 personas,avenida,chapultepec,eje vial,2 poniente (monterrey),avenida,oaxaca,calle,puebla,,,,,colonia,roma norte,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,0998,015552081161,blocksuites@gmail.com,,fijo,2016-01,6697843,721112,346.0,0.0,,9,15,1,11,19.42285507,-99.16515405
boppard,boppard s de rl de cv,hoteles sin otros servicios integrados,6 a 10 personas,calzada,acoxpa,calzada,linder0,calle,primera cerrada de acoxpa,avenida,la garita,,,,,colonia,residencial villacoapa,,,,ciudad de mexico,tlalpan,tlalpan,0731,,,,fijo,2014-12,6258536,721112,889.0,,14390.0,9,12,1,8,19.29010119,-99.11884059
busue hotel,operadora turistica origen sa de cv,hoteles con otros servicios integrados,11 a 30 personas,calle,eugenio sue,avenida,emilio castelar,avenida,presidente masaryk,calle,aristoteles,,,,,colonia,chapultepec polanco,,,,ciudad de mexico,miguel hidalgo,miguel hidalgo,0779,5566505916,reservaciones@busuehotel.com,www.busuehotel.com,fijo,2010-07,6259156,721111,45.0,,11560.0,9,16,1,6,19.42991998,-99.19445078
camino real pedregal,administradora de hoteles grt sa de cv,hoteles con otros servicios integrados,101 a 250 personas,boulevard,periferico sur,calle,guerrero,calle,rio magdalena,calle,camino a santa teresa,,,,,colonia,heroes de padierna,,camino real,,ciudad de mexico,la magdalena contreras,la magdalena contreras,0283,5554493650,jorge.robles@caminoreal.com.mx,www.caminoreal.com.mx,fijo,2014-12,6317399,721111,3647.0,,10700.0,9,8,1,31,19.31408616,-99.22093253
camino real pedregal,administrdora de hoteles grt sa de cv,hoteles con otros servicios integrados,101 a 250 personas,periferico,periferico sur,,,,,,,,,,,colonia,heroes de padierna,,,,ciudad de mexico,tlalpan,tlalpan,0283,5554493650,,,fijo,2019-04,6870208,721111,3647.0,,10700.0,9,12,1,31,19.31826837,-99.22093425
camino real pedregal,administradora de hoteles grt sa de cv,hoteles con otros servicios integrados,51 a 100 personas,boulevard,anillo periferico adolfo ruiz cortines,boulevard,manzana,calle,picacho,calle,cortines,,,,,colonia,heroes de padierna,,,,ciudad de mexico,alvaro obregon,alvaro obregon,128a,,,www.caminoreal.com,fijo,2017-03,6787249,721111,3647.0,,10700.0,9,10,1,25,19.31389377,-99.22032597
camino real santa fe,administrdora de hoteles grt sa de cv,hoteles con otros servicios integrados,101 a 250 personas,avenida,guillermo gonzalez camarena,,santa fe,,ernesto dominguez a.,,santa fe,,,,,colonia,centro ciudad santa fe,,,,ciudad de mexico,alvaro obregon,alvaro obregon,1542,5550041616,,,fijo,2019-04,6870207,721111,300.0,,1210.0,9,10,1,41,19.36780209,-99.26149239
camino real santa fe,administradora de hoteles grt sa de cv,hoteles con otros servicios integrados,101 a 250 personas,calle,guillermo gonzalez camarena,calle,ernesto dominguez a.,calle,antonio dovali jaime,avenida,santa fe,,,,,colonia,centro ciudad santa fe,,,,ciudad de mexico,alvaro obregon,alvaro obregon,1542,5550041616,nominas.santafe@caminoreal.com,www.caminoreal.com,fijo,2011-03,6317395,721111,300.0,,1210.0,9,10,1,41,19.36786272,-99.2613711
capsule hostel mexico city,vissuto group s.a de c.v.,hoteles sin otros servicios integrados,6 a 10 personas,calle,hamburgo,calle,napoles,calle,dinamarca,avenida,insurgentes sur,,,,,colonia,juarez,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,0803,5552077903,capsulehotel@gmail.com,www.capsulehostel.com.mx,fijo,2016-10,6765732,721112,49.0,,6600.0,9,15,1,4,19.42837106,-99.16027234
casa castelar,turisticos profesionales sa de cv,hoteles con otros servicios integrados,0 a 5 personas,calle,galileo,avenida,campos eliseos,avenida,emilio castelar,calle,temistocles,,,,,colonia,polanco chapultepec,,,,ciudad de mexico,miguel hidalgo,miguel hidalgo,0779,5552110001,reservations@flowsuites.com,,fijo,2010-07,6309526,721111,34.0,,11560.0,9,16,1,9,19.42956607,-99.19298587
casa de la condesa,inmobiliaria moussali sa,hoteles con otros servicios integrados,6 a 10 personas,calle,orizaba,calle,zacatecas,calle,guanajuato,calle,cordoba,,,,,colonia,roma norte,,,,ciudad de mexico,cuauhtemoc,cuauhtemoc,1110,5555843089,ventas@condesahotels.com,,fijo,2010-07,6259210,721111,16.0,,6700.0,9,15,1,7,19.41625298,-99.15892611
