nombre_comercial,razon_social,actividad_economica,numero_de_personal,tipo_vial,nombre_vial,tipo_vial_1,nombre_vial_1,tipo_vial_2,nombre_vial_2,tipo_vial_3,nombre_vial_3,letra_ext,edificio,edificio_piso,letra_int,tipo_asentamiento,nombre_asentamiento,tipo_centro_comercial,nombre_centro_comercial,numero_local,entidad,municipio,localidad,ageb,telefono,email,web,tipo_unidad_economica,fecha_alta,id,codigo_actividad_economica,numero_ext,numero_int,codigo_postal,clave_entidad,clave_municipio,clave_localidad,manzana,latitud,longitud
antigua hotel,operadora hotelera puma sa de cv,hoteles sin otros servicios integrados,0 a 5 personas,avenida,miguel hidalgo,avenida,guillermo prieto,boulevard,isidro fabela,calle,mariano escobedo,,,,,colonia,san sebastian,,,,mexico                      ,toluca,toluca de lerdo,0468,,,,fijo,2011-03,6354974,721112,1004.0,,50090.0,15,106,1,21,19.28996959,-99.64111567
aruba hotel y villas sa de cv,aruba hotel y villas sa de cv,hoteles con otros servicios integrados,6 a 10 personas,boulevard,ojo de agua,prolongacion,los arcos,calle,francisco villa,otro (especifique),camino de terraceria,,,,,colonia,san francisco cuautliquixca,,,,mexico                      ,tecamac,ojo de agua,097a,5559326262,arubahotelyvillas@yahoo.com.mx,www.arubahotelyvillas.com.com,fijo,2013-07,6265761,721111,39.0,,55770.0,15,81,19,1,19.66613879,-99.0152084
as gran hotel,operadora hotelera puma sa de cv,hoteles sin otros servicios integrados,0 a 5 personas,avenida,paseo tollocan,,ninguno,calle,nezahualcoyotl,boulevard,isidro fabela,,,,,colonia,san sebastian,,,,mexico                      ,toluca,toluca de lerdo,0468,,,,fijo,2010-07,6356310,721112,611.0,,50130.0,15,106,1,43,19.28336722,-99.64067297
auto hotel cadillac,,hoteles sin otros servicios integrados,0 a 5 personas,,ninguno,calle,tierra y libertad,calle,benito juarez,,ninguno,sn,,,,colonia,"la remolacha, santa cruz atizapan",,,,mexico                      ,san antonio la isla,colonia la remolacha,0037,,,,fijo,2010-07,6266391,721112,,,52506.0,15,73,17,1,19.1860238,-99.52025962
auto hotel campestre,auto hotel campestre,hoteles sin otros servicios integrados,0 a 5 personas,calle,carretera chapultepec-tianguistenco,,ninguno,,ninguno,,ninguno,kilometro 6.,,,,rinconada,san bartolo,,,,mexico                      ,calimaya,rancho vistahermosa (rancho los jardines),0088,,,,fijo,2014-12,6266390,721112,,,52223.0,15,18,15,800,19.19311,-99.53793
auto hotel el arco,,hoteles sin otros servicios integrados,0 a 5 personas,,ninguno,,ninguno,,ninguno,,ninguno,,,,,prolongacion,manzana segunda de santa cruz tepexpan,,,,mexico                      ,jiquipilco,manzana segunda de santa cruz tepexpan,0126,,,,fijo,2014-12,6266426,721112,,,50830.0,15,47,95,14,19.58213197,-99.6948599
auto hotel las delicias,,hoteles sin otros servicios integrados,0 a 5 personas,calle,toluca-tenango,,ninguno,calle,francisco villa,,ninguno,kilometro 9,,,,colonia,la estacion,,,,mexico                      ,mexicaltzingo,san mateo mexicaltzingo,0043,,,,fijo,2010-07,6355160,721112,,,52187.0,15,55,1,16,19.21733772,-99.59093298
auto hotel los arcos,,hoteles sin otros servicios integrados,0 a 5 personas,prolongacion,vicente guerrero,prolongacion,benito juarez,calle,san bartolo,carretera,toluca-tenango,,,,,colonia,san lorenzo coacalco,,,,mexico                      ,metepec,san lorenzo coacalco (san lorenzo),0756,,,,fijo,2014-12,6266389,721112,3.0,,52140.0,15,54,41,12,19.24067683,-99.60213298
auto hotel los encinos,hotelera los encinos sa de cv,hoteles sin otros servicios integrados,6 a 10 personas,avenida,del penon,avenida,tecatl 1,calle,tecatl 2,calle,luis donaldo colosio murrieta,sn,,,,barrio,san pablo,,,,mexico                      ,chimalhuacan,chimalhuacan,0145,,,,fijo,2016-01,6507332,721112,,,53334.0,15,31,1,14,19.43115329,-98.95140994
auto hotel villamiro,inmobiliaria xeral sa de cv,hoteles con otros servicios integrados,11 a 30 personas,carretera,toluca-mexico,cerrada,ninguno,calle,calvario,calle,hermenegildo galeana,km,,,,colonia,la merced,,,,mexico                      ,lerma,lerma de villada,0256,7282821451,hotel_villamiro@hotmail.com,www.hotelvillamiro.com,fijo,2010-07,6266845,721111,49.0,,52000.0,15,51,1,22,19.28001606,-99.50577018
autohotel paraiso diamante,,hoteles con otros servicios integrados,0 a 5 personas,calle,carretera atlacomulco sann felipe del progreso,calle,ninguno,privada,ninguno,otro (especifique),ninguno,sn,,,,pueblo,el tunal nenaxi,,,,mexico                      ,san felipe del progreso,ejido del tunal nenaxi,0195,7121817371,,,fijo,2016-01,6507437,721111,,,50640.0,15,74,126,4,19.74395833,-99.90885814
ayotla sa,ayotla sa,hoteles sin otros servicios integrados,6 a 10 personas,avenida,cuauhtemoc,avenida,ignacio allende,calle,empedradillo,calle,zacatecas,,,,,colonia,ayotla centro,,,,mexico                      ,ixtapaluca,ixtapaluca,1048,,,,fijo,2010-07,6265576,721112,37.0,,56660.0,15,39,1,40,19.313859,-98.928239
best western gran marques,hotel gran marques sa de cv,hoteles con otros servicios integrados,11 a 30 personas,avenida,baja velocidad,privada,ninguno,calle,calle de la industria,calle,5 de febrero,,,,,colonia,san jeronimo chicahualco,,,,mexico                      ,metepec,san jeronimo chicahualco,0972,7222168508,gerenciadeventas@bestwesterntoluca.mx,www.bestwesterhotelesandressort,fijo,2010-07,6266618,721111,1046.0,,52170.0,15,54,37,2,19.28647633,-99.58206197
biohotel,biohotel sa de cv,hoteles con otros servicios integrados,6 a 10 personas,calle,5 de mayo,calle,ninos heroes,calle,ninguno,calle,profirio diaz,,,,,barrio,del espiritu santo,,,,mexico                      ,metepec,metepec,0563,7225401416,reservaciones@biohotelmexico.com,www.biohotelmexico.com,fijo,2014-12,6266467,721111,109.0,,52140.0,15,54,1,2,19.25135457,-99.60444643
casa abierta,,hoteles con otros servicios integrados,0 a 5 personas,calle,calle del coliseo,calle,don nicolas bravo,calle,plaza independencia,calle,miguel hidalgo,,,,,colonia,centro,,,,mexico                      ,valle de bravo,valle de bravo,0066,7262625190,casabiertavalle@yahoo.com.mx,www.casabierta.com.mx,fijo,2010-07,6266603,721111,107.0,,51200.0,15,110,1,4,19.19280902,-100.13238637
casa de campo hotel holistic center,,hoteles sin otros servicios integrados,0 a 5 personas,,rio lerma,,rio bravo,calle,ignacio zaragoza,,ninguno,,,,,barrio,de santa maria,,,,mexico                      ,malinalco,malinalco,0060,,,,fijo,2010-07,6355121,721112,608.0,,52440.0,15,52,1,14,18.9450513,-99.49877276
casa de descanso del magisterio estatal sor juana ines de la cruz,sindicato de maestros al servicio del estado de mexico,hoteles con otros servicios integrados,11 a 30 personas,carretera,ninguno,,mexico-cuautla,,nispe,,nispe,sn,,,,colonia,nepantla de sor juana ines de,,,,mexico                      ,tepetlixpa,nepantla de sor juana ines de la cruz,008a,5979773159,ofms140113@gmail.com,www.smsem.org.mx,fijo,2014-12,6266791,721111,,,56890.0,15,94,2,8,18.98815402,-98.83364494
casa pixan,casa pixan sa de cv,hoteles con otros servicios integrados,0 a 5 personas,calle,la cruz,calle,agricultura,calle,ninguno,calle,ninguno,,,,,barrio,de santa maria,,,,mexico                      ,malinalco,malinalco,0060,7141470572,www.casapixan.com,wwwcasapixan.com,fijo,2010-07,6355120,721111,18.0,,52440.0,15,52,1,47,18.94475431,-99.48995764
centro vacacional ex hacienda los morales,,hoteles con otros servicios integrados,0 a 5 personas,calle,aldama,privada,quetzalcoatl,calle,ninguno,calle,camino viejo a chiconcuac,,,,sn,barrio,coxotla,,,,mexico                      ,papalotla,papalotla,0049,5585992359,hectorvidrio@yahoo.com,www.losmontero.com,fijo,2010-07,6265671,721111,11.0,,56050.0,15,69,1,3,19.55953647,-98.86363899
centro vacacional issemym tonatico,instituto de seguridad social del estado de mexico y municipios,hoteles con otros servicios integrados,31 a 50 personas,calle,licenciado adolfo lopez mateos,calle,cuauhtemoc,calle,abelardo rodriguez,calle,miguel hidalgo,,,,,barrio,santa maria norte,,,,mexico                      ,tonatico,tonatico,0041,017211410995,hoteles_issemym@yahoo.com.mx,,fijo,2010-07,6266293,721111,123.0,,51950.0,15,107,1,4,18.80812937,-99.67018083
centro vacacional issemym valle de bravo,instituto de seguridad social del estado de mexico y municipios,hoteles con otros servicios integrados,11 a 30 personas,calle,independencia,calle,ignacio zaragoza,calle,calle de las ortigas,calle,ortigas,,,,,colonia,centro,,,,mexico                      ,valle de bravo,valle de bravo,0066,7222138350,hoteles_issemum@yahoo.com.mx,,fijo,2010-07,6266237,721111,404.0,,51200.0,15,110,1,15,19.19476326,-100.13439848
centro vacacional ixtamil,sindicato de maestros al servicio del estado de mexico,hoteles con otros servicios integrados,51 a 100 personas,carretera,carretera libre federal itapan de la sal-tonatico km 2.0,,ninguno,prolongacion,jose maria morelos y pavon,prolongacion,ignacio allende,sn,,,,pueblo,el salitre,,,,mexico                      ,ixtapan de la sal,ixtapan de la sal,0093,7211410533,ofms140113@gmail.com,www.smsem.org.mx,fijo,2014-12,6266119,721111,,,51900.0,15,40,1,7,18.82620732,-99.66839103
city express junior toluca,promotora plaza sol sa de cv,hoteles sin otros servicios integrados,6 a 10 personas,boulevard,aeropuerto miguel aleman,boulevard,real a san pedro,calle,hacienda santa rosa,avenida,emiliano zapata antiguo camino al cerrillo,sn,,,,colonia,parque industrial polaris,,,,mexico                      ,lerma,lerma de villada,0472,5552498050,ngonzalez@hotelescity.com,www.hotelescity.com,fijo,2010-07,6355628,721112,,,52000.0,15,51,1,1,19.30520664,-99.56019145
city express plus satelite,prados camelinas sa de cv,hoteles sin otros servicios integrados,11 a 30 personas,calle,manuel tolsa,,ninguno,calle,boulevard manuel avila camacho,circuito,arquitectos,,,,,colonia,ciudad satelite,,,,mexico                      ,naucalpan de juarez,naucalpan de juarez,1188,5516632660,cestl.front@cityexpress.com.mx,www.gosahoteles.com,fijo,2016-01,6705865,721112,1.0,,53100.0,15,57,1,27,19.51066125,-99.23666595
city express tepotzotlan,promotora plaza sol sa de cv,hoteles con otros servicios integrados,31 a 50 personas,autopista,mexico-queretaro,carretera,a teoloyucan,carretera,a teoloyucan,,ninguno,sn,,,,barrio,texcacoa,,,,mexico                      ,tepotzotlan,tepotzotlan,041a,5552498050,ngonzalez@hotelescity.com,www.hotelcity.com,fijo,2010-07,6353807,721111,,,54600.0,15,95,1,5,19.7102121,-99.20638267
city express toluca,promotora plaza sol sa de cv,hoteles con otros servicios integrados,251 y mas personas,boulevard,miguel aleman (aeropuerto),,ninguno,,ninguno,,ninguno,,,,,colonia,lerma,,,,mexico                      ,lerma,lerma de villada,0472,,,www.cityexpress.com,fijo,2019-04,6869145,721111,55.0,,52000.0,15,51,1,3,19.29144036,-99.55672141
city plus mundo e,promotora plaza sol sa de cv,hoteles con otros servicios integrados,31 a 50 personas,boulevard,manuel avila camacho,,,,,,,,,,,colonia,san lucas,,,,mexico                      ,tlalnepantla de baz,tlalnepantla,0533,5552498050,,www.hotelescity.com,fijo,2019-04,6874962,721111,1007.0,,54050.0,15,104,1,3,19.52782339,-99.22814162
club deportivo hotel y motel el tucan,,hoteles con otros servicios integrados,6 a 10 personas,calle,carretera otumba-ciudad sahagun km 10,calle,barranquillas,calle,antiguo a tepeapulco,calle,fray bernardino de sahagun,sn,,,sn,colonia,el ranchito,,,,mexico                      ,otumba,otumba de gomez farias,0105,015929220305,clubdeportivoeltucan@gmail.com,www.clubeltucan.com,fijo,2010-07,6265723,721111,,,55900.0,15,65,1,1,19.70563821,-98.74932642
comercializadora mdc sa de cv,comercializadora mdc sa de cv,hoteles sin otros servicios integrados,11 a 30 personas,calle,santos degollado,calle,sor juana ines de la cruz,calle,jose maria pino suarez,calle,gomez pedraza,,,,,colonia,zopilocalco,,,,mexico                      ,toluca,toluca de lerdo,0383,,,,fijo,2010-07,6266257,721112,303.0,,50090.0,15,106,1,10,19.29401505,-99.65134239
courtyard marriott aeropuerto,operadora el gran hotel sa de cv,hoteles con otros servicios integrados,11 a 30 personas,boulevard,aeropuerto miguel aleman,boulevard,benito juarez,calle,ninguno,calle,ninguno,,,,,colonia,san pedro totoltepec,,,,mexico                      ,san mateo atenco,san mateo atenco,0414,7225408424,eduardosandoval@courtyard.com,www.hotelesmarriottinternacional.com,fijo,2010-07,6266359,721111,177.0,,50200.0,15,76,1,7,19.29997003,-99.55941984
danzaluna,danzaluna sa de cv,hoteles con otros servicios integrados,6 a 10 personas,calle,cerro de la bolita,calle,san juan,privada,cerro de la bolita,calle,fray gregorio jimenez de la cuenca,,,,,barrio,la capilla,,,,mexico                      ,valle de bravo,valle de bravo,0066,7262621057,reservaciones@danzaluna.com,www.danzaluna.com,fijo,2010-07,2478783,721111,80.0,,51200.0,15,110,1,16,19.19338197,-100.13638197
danzaluna,danzaluna sa de cv,hoteles sin otros servicios integrados,6 a 10 personas,,san juan,,fray gregorio jimenez de la cuenca,calle,atardecer,,ortigas,,,,,colonia,cerro de la bolita,,,1,mexico                      ,valle de bravo,valle de bravo,0066,,,,fijo,2014-12,6355748,721112,80.0,,51200.0,15,110,1,24,19.1934249,-100.13580914
el porton inn,,hoteles sin otros servicios integrados,0 a 5 personas,calle,tenancingo-teneria-malinalco,,ninguno,,ninguno,,ninguno,kilometro 3.5,,,,colonia,colonia emiliano zapata,,,,mexico                      ,tenancingo,ejido de teneria (el llano),010a,,,,fijo,2010-07,6355163,721112,,,52433.0,15,88,10,7,18.95425,-99.55748
el roble de noe,,hoteles sin otros servicios integrados,0 a 5 personas,calle,alfredo del mazo,calle,veinte de noviembre,calle,vereda,calle,aztecas,sn,,,,colonia,centro,,,,mexico                      ,villa del carbon,villa del carbon,0179,,,,fijo,2010-07,6266529,721112,,,54300.0,15,112,1,38,19.72110695,-99.45964628
el santuario,conciencia y excelencia sa de cv,hoteles con otros servicios integrados,51 a 100 personas,carretera,valle de bravo - colorines,calle,ninguno,calle,ninguno,otro (especifique),ninguno,km,,,,pueblo,san gaspar,,,,mexico                      ,valle de bravo,el santuario,0136,7262629100,tesoreria@elsantuario.com,elsantuario.com,fijo,2014-12,6354951,721111,4.0,,51200.0,15,110,121,2,19.22776243,-100.15730715
esip arrendamiento,,hoteles con otros servicios integrados,0 a 5 personas,boulevard,volcanes,calle,plateros,cerrada,ninguno,calle,moneda,,,,,fraccionamiento,centropopo-park,,,,mexico                      ,atlautla,popo park,0090,5979768273,esip.arrendamiento@gmail.com,www.esiparendamiento.com,fijo,2014-12,6420347,721111,1.0,,56983.0,15,15,4,33,19.0625406,-98.78323852
fi ecatepec,posadas de latinoamerica sa de cv,hoteles con otros servicios integrados,51 a 100 personas,avenida,central,,ninguno,,ninguno,calle,paseo de las americas,manzana 4 lote 1,,,,coto,urbano las americas,"tianguis, bazares o pulgas",plaza las americas,sn,mexico                      ,ecatepec de morelos,ecatepec de morelos,4941,,,,fijo,2010-07,6348644,721111,,,55070.0,15,33,1,5,19.5829189,-99.02506875
fiesa inn tlalnepantla,hoteles y villas posadas sa de cv,hoteles con otros servicios integrados,0 a 5 personas,avenida,sor juan ines cruz,,,,,,,,,,,colonia,tlalnepantla,,,,mexico                      ,tlalnepantla de baz,tlalnepantla,0393,015553266701,veronica.arevalo@posadas.com,,fijo,2017-11,6813972,721111,22.0,,54000.0,15,104,1,5,19.53890018,-99.20012349
fiesta americana toreo,hoteles y villas posadas sa de cv,hoteles con otros servicios integrados,101 a 250 personas,avenida,manuel avila camacho,,,,,,,,,,,colonia,lomas de sotelo,,,,mexico                      ,naucalpan de juarez,naucalpan de juarez,2504,015553266701,veronica.arevalo@posadas.com,,fijo,2017-11,6812938,721111,5.0,,53390.0,15,57,1,1,19.4534666,-99.22178868
fiesta inn,posadas de latinoamerica sa de cv,hoteles con otros servicios integrados,51 a 100 personas,carretera,mexico-queretaro,calle,mexico-queretaro,avenida,chalma,avenida,paseo de las haciendas,sn,,,,colonia,jardines de la hacienda,"tianguis, bazar o pulga",plaza san marcos,sn,mexico                      ,cuautitlan izcalli,cuautitlan izcalli,0178,018005045050,,www.fiestainn.com,fijo,2010-07,6348643,721111,,0.0,54720.0,15,121,1,43,19.67128082,-99.20050335
fiesta inn cuautitlan,grupo posadas sab de cv,hoteles con otros servicios integrados,51 a 100 personas,avenida,paseo de las haciendas,avenida,chalma,calle,ninguno,calle,mexico-queretaro,sn,,,,colonia,jardines de la hacienda,centro o plaza comercial,plaza san marcos,sn,mexico                      ,cuautitlan izcalli,cuautitlan izcalli,0178,014433108137,,,fijo,2010-07,6349212,721111,,0.0,54720.0,15,121,1,43,19.67230707,-99.20497631
fiesta inn cuautitlan,hoteles y villas posadas sa de cv,hoteles con otros servicios integrados,51 a 100 personas,avenida,chalma,,,,,,,sn,,,,colonia,de la hacienda,,,,mexico                      ,cuautitlan izcalli,cuautitlan izcalli,0178,015553266701,veronica.arevalo@posadas.com,,fijo,2017-11,6812939,721111,,,54720.0,15,121,1,43,19.67149796,-99.2006856
fiesta inn ecatepec,hoteles y villas posadas sa de cv,hoteles con otros servicios integrados,0 a 5 personas,avenida,1 de mayo,,,,,,,sn,,,,colonia,las americas,,,,mexico                      ,ecatepec de morelos,ecatepec de morelos,4941,015553266701,veronica.arealo@posadas.com,,fijo,2017-11,6813632,721111,,,55070.0,15,33,1,5,19.58288512,-99.02505574
fiesta inn naucalpan,fideicomiso f/1596 ,hoteles con otros servicios integrados,11 a 30 personas,calle,via gustavo baz,calle,via doctor gustavo baz,,calzada de la naranja,,9,,,,,hacienda,industrial alce blanco,,,,mexico                      ,naucalpan de juarez,naucalpan de juarez,139a,5553879910,,www.fibrahotel.com,fijo,2010-07,6354978,721111,174.0,,53370.0,15,57,1,10,19.47923888,-99.23067937
fiesta inn perinorte,fideicomiso f/1596 ,hoteles con otros servicios integrados,51 a 100 personas,carretera,carretera mexico queretaro,privada,calzada miguel hidalgo,carretera,ninguno,calle,mexico (cuautitlan),km,,,sn,colonia,lecheria,,fiesta inn perinorte,sn,mexico                      ,cuautitlan izcalli,cuautitlan izcalli,1886,015558994500,,www.fibrahotel.com,fijo,2010-07,6348645,721111,3.0,,54900.0,15,121,1,40,19.60500305,-99.18911988
fiesta inn perinorte,hoteles y villas posadas sa de cv,hoteles con otros servicios integrados,0 a 5 personas,carretera,mexico-queretaro,,,,,,,sn,,,,colonia,tultilan,,,,mexico                      ,tultitlan,buenavista,1769,015553266701,veronica.arevalo@posadas.com,,fijo,2017-11,6813999,721111,,,54900.0,15,109,3,7,19.60879972,-99.18966413
gaudi suites vip,hotelera couto sa de cv,hoteles con otros servicios integrados,11 a 30 personas,avenida,ignacio comonfort,calle,jose maria pino suarez,privada,ninguno,calle,privada de pino suarez,,,,,colonia,santa ana tlapaltitlan,,,,mexico                      ,toluca,santa ana tlapaltitlan,4259,7221997412,gaudsuitesvip@hotmail.com,,fijo,2010-07,6355100,721111,405.0,,50160.0,15,106,86,11,19.28616061,-99.61017476
gran hotel plaza imperial,inmobiliaria mexicana turistica sa de cv,hoteles con otros servicios integrados,31 a 50 personas,carretera,toluca-mexico km 57.5,calle,5 de febrero,calle,prolongacion adolfo lopez mateos,calle,puerto de acapulco,sn,,,,colonia,san jeronimo chicahualco,,,,mexico                      ,metepec,san jeronimo chicahualco,0972,72227544444,www.plazamperial.com,www.plazamperial.cm,fijo,2010-07,6353720,721111,,,52170.0,15,54,37,3,19.28637308,-99.57787621
gran hotel real,grupo de modernizacion empresarial sa de cv,hoteles con otros servicios integrados,11 a 30 personas,avenida,licenciado benito juarez,calle,miguel carrera,calle,mariano galvan rivera,avenida,insurgentes,,,,,barrio,texcacoa,,,,mexico                      ,tepotzotlan,tepotzotlan,0208,5558669865,granhotelrealtepotzotlan@yahoo.com.mx,www.granhotelrealtepotzotlan.com.mx,fijo,2010-07,6266137,721111,35.0,,54605.0,15,95,1,2,19.71435474,-99.21800726
hacienda de la luz boutique & mountain park resort,hacienda de la luz boutique & mountain park resort sa de cv,hoteles con otros servicios integrados,31 a 50 personas,otro (especifique),terraceria a hacienda de la luz,otro (especifique),,otro (especifique),,otro (especifique),manzana 800,sn,,,,rancheria,el consuelo,,,,mexico                      ,san felipe del progreso,rancheria el consuelo (el carmen),0161,5552458848,direccion@haciendadelaluz.com.mx,www.haciendadelaluz.com.mx,fijo,2010-07,6266443,721111,,,50600.0,15,74,20,800,19.76170479,-100.0600486
hacienda la purisima,ultra servicios administrativos sa de cv,hoteles con otros servicios integrados,31 a 50 personas,otro (especifique),rancho la purisima,calle,ninguno,calle,ninguno,calle,ninguno,sn,,,,hacienda,hacienda la purisima,,,,mexico                      ,ixtlahuaca,fraccionamiento hacienda la purisima,0172,7122830028,olgaastudilloesquibel@gmail.com,www.haciendalapurisima.com,fijo,2014-12,6266422,721111,,,50789.0,15,42,74,15,19.55319783,-99.72318106
hacienda real san miguel ometusco,hacinda teotihuacan sa de cv,hoteles con otros servicios integrados,11 a 30 personas,calle,carretera san felipe teotitan xala,calle,16 de septiembre,calle,ninguno,calle,alvaro obregon,sn,,,sn,exhacienda,exhacienda san miguel ometusco,,,,mexico                      ,axapusco,san miguel ometusco,012a,5929247714,hdatofacturas@gmail.com,www.hotelsanmiguelometusco.com,fijo,2014-12,6265771,721111,,,55963.0,15,16,11,12,19.78108946,-98.67295452
holiday inn express and suites toluca zona aeropuerto,"deutsche bank mexico, sociedad anonima, institucion de banca multiple, division fiduciaria f/1616 ",hoteles con otros servicios integrados,31 a 50 personas,boulevard,miguel aleman (aeropuerto),privada,ninguno,calle,ninguno,autopista,ninguno,,,,,colonia,parque industrial,,,,mexico                      ,lerma,lerma de villada,0472,7222655100,ibeth.cela@hotelesprisma.com,,fijo,2011-03,6355166,721111,55.0,,52000.0,15,51,1,3,19.29239339,-99.55693138
holiday inn express galerias metepec,operadora hotelera city center metepec sa de cv,hoteles con otros servicios integrados,31 a 50 personas,calle,toluca-metepec,calle,pedro ascencio,calle,uruapan,calle,guadalupe victoria,,,,,colonia,la michoacana,,,14,mexico                      ,metepec,san jorge pueblo nuevo,1097,7222359595,administracion@hiexmetepec.com.mx,,fijo,2016-01,6713075,721111,267.0,,52166.0,15,54,38,10,19.25453807,-99.61970793
holiday inn perinorte,operadora de hoteles y servicios turisticos sea sa de cv,hoteles con otros servicios integrados,51 a 100 personas,avenida,ninguno,calle,melchor ocampo,calle,antiguo camino a minas,avenida,via gustavo baz,,,,,colonia,san pedro barrientos,,,,mexico                      ,tlalnepantla de baz,tlalnepantla,0016,015553215191,recursos.humanos@hiperinorte.com.mx,www.ihg.com,fijo,2010-07,6348130,721111,4873.0,,54010.0,15,104,1,33,19.58212492,-99.2032884
hospedaje diamante,,hoteles sin otros servicios integrados,0 a 5 personas,calle,nuestra senora de los remedios,calle,solidaridad (tejones),calle,nuestra senora de san juan,calle,nuestra senora de lourdes,sn,,,,colonia,tres marias,,,,mexico                      ,chalco,chalco de diaz covarrubias,2040,,,,fijo,2010-07,6265514,721112,,,56600.0,15,25,1,23,19.274989399999995,-98.90648575
